Actual legal checkmate; idle clock is real seconds. Observe hover externally.
0.20 mouse=(666.67, 400.67) focused=True rect=(x:353.00, y:100.00, width:1000.00, height:760.00) released=False until=9.99 window=True held=True,True jobs=PR_GoToGame,PR_JoinGame
1.03 mouse=(666.67, 400.67) focused=True rect=(x:353.00, y:100.00, width:1000.00, height:760.00) released=False until=9.99 window=True held=True,True jobs=PR_GoToGame,PR_JoinGame
2.03 mouse=(666.67, 400.67) focused=True rect=(x:353.00, y:100.00, width:1000.00, height:760.00) released=False until=9.99 window=True held=True,True jobs=PR_GoToGame,PR_JoinGame
3.07 mouse=(666.67, 400.67) focused=True rect=(x:353.00, y:100.00, width:1000.00, height:760.00) released=False until=9.99 window=True held=True,True jobs=PR_GoToGame,PR_JoinGame
4.09 mouse=(666.67, 400.67) focused=True rect=(x:353.00, y:100.00, width:1000.00, height:760.00) released=False until=9.99 window=True held=True,True jobs=PR_GoToGame,PR_JoinGame
5.12 mouse=(666.67, 400.67) focused=True rect=(x:353.00, y:100.00, width:1000.00, height:760.00) released=False until=9.99 window=True held=True,True jobs=PR_GoToGame,PR_JoinGame
6.16 mouse=(666.67, 400.67) focused=True rect=(x:353.00, y:100.00, width:1000.00, height:760.00) released=False until=9.99 window=True held=True,True jobs=PR_GoToGame,PR_JoinGame
7.19 mouse=(666.67, 400.67) focused=True rect=(x:353.00, y:100.00, width:1000.00, height:760.00) released=False until=9.99 window=True held=True,True jobs=PR_GoToGame,PR_JoinGame
8.03 mouse=(666.67, 400.67) focused=True rect=(x:353.00, y:100.00, width:1000.00, height:760.00) released=False until=9.99 window=True held=True,True jobs=PR_GoToGame,PR_JoinGame
9.04 mouse=(666.67, 400.67) focused=True rect=(x:353.00, y:100.00, width:1000.00, height:760.00) released=False until=9.99 window=True held=True,True jobs=PR_GoToGame,PR_JoinGame
10.06 mouse=(666.67, 400.67) focused=True rect=(x:353.00, y:100.00, width:1000.00, height:760.00) released=False until=9.98 window=True held=True,True jobs=PR_GoToGame,PR_JoinGame
11.10 mouse=(666.67, 400.67) focused=True rect=(x:353.00, y:100.00, width:1000.00, height:760.00) released=False until=9.98 window=True held=True,True jobs=PR_GoToGame,PR_JoinGame
12.11 mouse=(666.67, 400.67) focused=True rect=(x:353.00, y:100.00, width:1000.00, height:760.00) released=False until=9.99 window=True held=True,True jobs=PR_GoToGame,PR_JoinGame
13.12 mouse=(666.67, 400.67) focused=True rect=(x:353.00, y:100.00, width:1000.00, height:760.00) released=False until=9.99 window=True held=True,True jobs=PR_GoToGame,PR_JoinGame
14.13 mouse=(666.67, 400.67) focused=True rect=(x:353.00, y:100.00, width:1000.00, height:760.00) released=False until=9.99 window=True held=True,True jobs=PR_GoToGame,PR_JoinGame
15.17 mouse=(666.67, 400.67) focused=True rect=(x:353.00, y:100.00, width:1000.00, height:760.00) released=False until=9.99 window=True held=True,True jobs=PR_GoToGame,PR_JoinGame
16.19 mouse=(666.67, 400.67) focused=True rect=(x:353.00, y:100.00, width:1000.00, height:760.00) released=False until=9.99 window=True held=True,True jobs=PR_GoToGame,PR_JoinGame
17.01 mouse=(666.67, 400.67) focused=True rect=(x:353.00, y:100.00, width:1000.00, height:760.00) released=False until=9.99 window=True held=True,True jobs=PR_GoToGame,PR_JoinGame
18.02 mouse=(666.67, 400.67) focused=True rect=(x:353.00, y:100.00, width:1000.00, height:760.00) released=False until=9.99 window=True held=True,True jobs=PR_GoToGame,PR_JoinGame
19.06 mouse=(666.67, 400.67) focused=True rect=(x:353.00, y:100.00, width:1000.00, height:760.00) released=False until=9.99 window=True held=True,True jobs=PR_GoToGame,PR_JoinGame
20.08 mouse=(666.67, 400.67) focused=True rect=(x:353.00, y:100.00, width:1000.00, height:760.00) released=False until=9.98 window=True held=True,True jobs=PR_GoToGame,PR_JoinGame
21.11 mouse=(666.67, 400.67) focused=True rect=(x:353.00, y:100.00, width:1000.00, height:760.00) released=False until=9.99 window=True held=True,True jobs=PR_GoToGame,PR_JoinGame
22.16 mouse=(666.67, 400.67) focused=True rect=(x:353.00, y:100.00, width:1000.00, height:760.00) released=False until=9.99 window=True held=True,True jobs=PR_GoToGame,PR_JoinGame
23.18 mouse=(666.67, 400.67) focused=True rect=(x:353.00, y:100.00, width:1000.00, height:760.00) released=False until=9.99 window=True held=True,True jobs=PR_GoToGame,PR_JoinGame
24.03 mouse=(666.67, 400.67) focused=True rect=(x:353.00, y:100.00, width:1000.00, height:760.00) released=False until=9.99 window=True held=True,True jobs=PR_GoToGame,PR_JoinGame
25.05 mouse=(666.67, 400.67) focused=True rect=(x:353.00, y:100.00, width:1000.00, height:760.00) released=False until=9.99 window=True held=True,True jobs=PR_GoToGame,PR_JoinGame
26.07 mouse=(666.67, 400.67) focused=True rect=(x:353.00, y:100.00, width:1000.00, height:760.00) released=False until=9.99 window=True held=True,True jobs=PR_GoToGame,PR_JoinGame
27.09 mouse=(666.67, 400.67) focused=True rect=(x:353.00, y:100.00, width:1000.00, height:760.00) released=False until=9.99 window=True held=True,True jobs=PR_GoToGame,PR_JoinGame
28.11 mouse=(66.67, 67.33) focused=True rect=(x:353.00, y:100.00, width:1000.00, height:760.00) released=False until=9.33 window=True held=True,True jobs=PR_GoToGame,PR_JoinGame
29.14 mouse=(66.67, 67.33) focused=True rect=(x:353.00, y:100.00, width:1000.00, height:760.00) released=False until=8.30 window=True held=True,True jobs=PR_GoToGame,PR_JoinGame
30.14 mouse=(66.67, 67.33) focused=True rect=(x:353.00, y:100.00, width:1000.00, height:760.00) released=False until=7.30 window=True held=True,True jobs=PR_GoToGame,PR_JoinGame
31.16 mouse=(66.67, 67.33) focused=True rect=(x:353.00, y:100.00, width:1000.00, height:760.00) released=False until=6.28 window=True held=True,True jobs=PR_GoToGame,PR_JoinGame
32.19 mouse=(66.67, 67.33) focused=True rect=(x:353.00, y:100.00, width:1000.00, height:760.00) released=False until=5.25 window=True held=True,True jobs=PR_GoToGame,PR_JoinGame
